Name
Yonny Hernandez
Ivn Herrera
Jose Herrera
Odbel Herrera
Jason Heyward
Brewer Hicklen
Aaron Hicks
Kyle Higashioka
PJ Higgins
Derek Hill
Sam Hilliard
Keston Hiura
Nico Hoerner
Jeff Hoffman
Rhys Hoskins
Eric Hosmer
Sam Huff
Brandon Hughes
Cooper Hummel
Tommy Hunter
Andy Ibez
Jos Iglesias
Ender Inciarte
Jonathan India
Kyle Isbel
Alex Jackson
Drew Jackson
Travis Jankowski
Danny Jansen
Ryan Jeffers
Eloy Jimnez
Connor Joe
Bryce Johnson
Nolan Jones
Taylor Jones
Aaron Judge
Josh Jung
James Kaprielian
Gosuke Katoh
Jarred Kelenic
Carson Kelly
Tony Kemp
Buddy Kennedy
Ian Kennedy
Max Kepler
Kevin Kiermaier
HaSeong Kim
Craig Kimbrel
Isiah KinerFalefa
Scott Kingery
Alex Kirilloff
Alejandro Kirk
Andrew Knapp
Andrew Knizner
Mark Kolozsvary
Joey Krehbiel
Ryan Kreidler
Jason Krizan
Joel Kuhnel
Steven Kwan
Tommy La Stella
Juan Lagares
Jake Lamb
Jimmy Lambert
Shea Langeliers
Trevor Larnach
Jack Larsen
Ramn Laureano
Bryan Lavastida
Charles Leblanc
Khalil Lee
Korey Lee
DJ LeMahieu
Sandy Leon
Josh Lester
Kyle Lewis
Royce Lewis
Luis Liberato
Matthew Liberatore
Francisco Lindor
Jonathan Loisiga
Tim Locastro
Evan Longoria
Christian Lopes
Alejo Lopez
Jorge Lpez
Nicky Lopez
Otto Lopez
Reynaldo Lpez
Brandon Lowe
Josh Lowe
Nathaniel Lowe
Jed Lowrie
Seth Lugo
Jordan Luplow
Gavin Lux
Daniel Lynch
Dixon Machado
Manny Machado
Vimael Machn
David MacKinnon
Nick Madrigal
Bligh Madris
Luke Maile
Martn Maldonado
Trey Mancini
Joe Mantiply
Tucupita Marcano
Manuel Margot
Jake Marisnick
Deven Marrero
Brandon Marsh
Ketel Marte
Starling Marte
Brett Martin
Chris Martin
Richie Martin
JD Martinez
Michael Massey
Miles Mastrobuoni
Jorge Mateo
Mark Mathias
JJ Matijevic
Nick Maton
Jack Mayfield
Nomar Mazara
Patrick Mazeika
James McCann
Jake McCarthy
Chas McCormick
Andrew McCutchen
Mickey McDonald
Reese McGuire
Ryan McKenna
Billy McKinney
Zach McKinstry
Ryan McMahon
Jeff McNeil
Austin Meadows
Adonis Medina
Francisco Meja
Mark Melancon
MJ Melendez
Danny Mendick
Joey Meneses
Oscar Mercado
Yermn Mercedes
Whit Merrifield
Jake Meyers
Keynan Middleton
Brad Miller
Owen Miller
Alec Mills
Wyatt Mills
Jose Miranda
Calvin Mitchell
Garrett Mitchell
Yadier Molina
Yon Moncada
Adalberto Mondes
Nate Mondou
Mickey Moniak
Elehuris Montero
Dylan Moore
Colin Moran
Christopher Morel
Gabriel Moreno
Dauri Moreta
Reyes Moronta
Taylor Motter
Ryan Mountcastle
Mike Moustakas
Cedric Mullins
Max Muncy
Yairo Munoz
Penn Murfee
Sean Murphy
Tom Murphy
Smon Muzziotti
Wil Myers
Tyler Naquin
Andrew Nardi
Omar Narvez
Bo Naylor
Josh Naylor
Kyle Nelson
Sheldon Neuse
Tyler Nevin
Kevin Newman
Toms Nido
Brandon Nimmo
Austin Nola
Lars Nootbaar
Daniel Norris
Dom Nuez
Ryan OHearn
Logan OHoppe
Brian OKeefe
Tyler ONeill
Rougned Odor
Shohei Ohtani
Steven Okert
Chris Okey
Edward Olivares
Matt Olson
Rafael Ortega
James Outman
Chris Owings
Marcell Ozuna
Cristian Pache
Kevin Padlo
Jermaine Palacios
Josh Palacios
Richie Palacios
Michael Papierski
Isaac Paredes
Hoy Park
Vinnie Pasquantino
Joel Payamps
Mark Payton
Joc Pederson
Liover Peguero
Jeremy Pea
David Peralta
Oswald Peraza
Geraldo Perdomo
Carlos Prez
Cionel Prez
Joe Perez
Michael Perez
Roberto Perez
Salvador Perez
Jace Peterson
Tommy Pham
Brett Phillips
Evan Phillips
Kevin Pillar
Manny Pia
Chad Pinder
Israel Pineda
Ren Pinto
Stephen Piscotty
Kevin Plawecki
Nick Plummer
Jorge Polanco
AJ Pollock
Zach Pop
Sean Poppen
Nick Pratto
David Price
Ford Proctor
Jurickson Profar
Albert Pujols
Roman Quinn
Esteban Quiroz
Cal Raleigh
Luke Raley
Harold Ramrez
Jos Ramrez
No Ramirez
Heliot Ramos
JT Realmuto
Jake Reed
Rob Refsnyder
Zach Reks
Anthony Rendon
Hunter Renfroe
Luis Rengifo
Franmil Reyes
Pablo Reyes
Victor Reyes
Bryan Reynolds
Matt Reynolds
JT Riddle
Austin Riley
Edwin Rios
Alfonso Rivas
Emmanuel Rivera
Sebastian Rivero
Anthony Rizzo
Luis Robert
David Robertson
Kramer Robertson
Chuckie Robinson
Victor Robles
Brendan Rodgers
Joely Rodrguez
Julio Rodrguez
Taylor Rogers
Jose Rojas
Josh Rojas
Miguel Rojas
JoJo Romero
Austin Romine
Brent Rooker
Amed Rosario
Eddie Rosario
Eguy Rosario
Darin Ruf
Esteury Ruiz
Keibert Ruiz
Adley Rutschman
Gary Sanchez
Jess Snchez
Yolmer Sanchez
Donny Sands
Reiver Sanmartin
Miguel San
Carlos Santana
Anthony Santander
Clarke Schmidt
Jonathan Schoop
Max Schrock
Kyle Schwarber
Frank Schwindel
Tanner Scott
Corey Seager
Jean Segura
Marcus Semien
Nick Senzel
Brian Serven
Anderson Severino
Pedro Severino
Paul Sewald
Bryan Shaw
Travis Shaw
Gavin Sheets
Zack Short
Chasen Shreve
Michael Siani
Magneuris Sierra
Andrelton Simmons
Jose Siri
Austin Slater
Dominic Smith
Josh Smith
Kevin Smith
Pavin Smith
Will Smith
Canaan SmithNjigba
Collin Snider
Nick Solak
Donovan Solano
Jorge Soler
Edmundo Sosa
Lenyn Sosa
Juan Soto
Livan Soto
Steven Souza Jr
Cory Spangenberg
George Springer
Jacob Stallings
Giancarlo Stanton
Max Stassi
Josh Staumont
